id,title,severity,cvss_range,cwe,owasp,url,evidence,fix
VULN-001,Sensitive File Exposed: /backup.zip,CRITICAL,9.0–10.0,CWE-200,A05:2021 – Security Misconfiguration,https://musclehouse.shop/login,GET https://musclehouse.shop/backup.zip → 200 OK (840 bytes),Never store backup files in the web root. Move to a secure off-site location and restrict access.
VULN-002,Missing HTTP Security Headers,HIGH,7.0–8.9,CWE-693,A05:2021 – Security Misconfiguration,https://musclehouse.shop/login,,Add these headers to your web server configuration:Content-Security-Policy: default-src 'self'Strict-Transport-Security: max-age=31536000; includeSubDomainsX-Frame-Options: DENYX-Content-Type-Options: nosniffReferrer-Policy: strict-origin-when-cross-origin
VULN-003,Clickjacking Vulnerability,MEDIUM,4.0–6.9,CWE-1021,A05:2021 – Security Misconfiguration,https://musclehouse.shop/login,,Add: X-Frame-Options: DENY or use CSP: Content-Security-Policy: frame-ancestors 'none'
VULN-004,Server Version Disclosure (Server),LOW,0.1–3.9,CWE-200,A05:2021 – Security Misconfiguration,https://musclehouse.shop/login,Server: Netlify,Remove or mask the Server header. Apache: set ServerTokens Prod and ServerSignature Off in httpd.conf.
VULN-005,Sensitive File Exposed: /.DS_Store,LOW,0.1–3.9,CWE-200,A05:2021 – Security Misconfiguration,https://musclehouse.shop/login,GET https://musclehouse.shop/.DS_Store → 200 OK (840 bytes),Remove macOS metadata files from the server.
